customer_id,age,income,visits_last_month,purchased,avg_spend,loyalty_score,engagement
1,56,91788,2,0,0.0,39.714876236148044,4.532660535912577
2,69,112879,14,1,99.67787268687796,62.304475617634466,15.419865496294475
3,46,68827,5,1,107.34801362167188,35.73569925358292,6.277086634535198
4,32,35655,0,0,0.0,60.43898151411275,3.395247559418682
5,60,74859,11,1,88.82539959109302,42.25078701859838,11.66416292283362
6,25,83625,5,1,99.76292215812461,34.651201649366236,6.292259352048343
7,38,82098,3,1,87.71428437853199,54.20068014046107,2.3584322762960017
8,56,45251,7,1,86.1212927499104,9.881493077687885,4.275913258290485
9,36,30526,12,1,114.6703838422627,23.73536638392158,10.632302199000847
10,40,98760,10,1,165.58390001020712,47.33762174338575,9.98168192293069
11,28,77837,8,1,85.11829614606185,51.236626499522636,8.121570745002606
12,28,41536,3,1,114.36584969679261,44.46021844762717,6.852571709710786
13,41,58541,9,1,140.73091857966816,26.30845551923602,9.162554335182138
14,53,109083,11,1,68.4991003346579,37.73162236792242,13.357686888051287
15,57,81027,9,1,69.95410488243067,55.868139908560906,8.129845516847368
16,41,64531,5,1,188.01436286422185,58.72672655942544,4.376648228469532
17,20,38712,0,0,0.0,49.756653236060885,-2.6580152744468966
18,39,95455,3,1,123.8936017201956,67.35250671555482,1.5153439742468564
19,19,104744,6,1,136.58960979571015,55.960955351888515,7.053962782727506
20,41,35109,11,1,25.273899758615308,38.78816519062681,11.015120360788266
21,61,79268,14,1,131.25853380110544,45.79246919882574,15.885877239794468
22,47,84615,0,1,111.71159718035635,28.95700764188218,0.36250789669010053
23,55,112503,7,1,118.23494236029842,48.37791514412875,6.295092536724517
24,19,59759,11,1,84.69628882954707,66.68150928832009,15.296593727573917
25,38,115708,9,1,34.66530158832954,60.27935127066452,8.812192862573905
26,50,90112,11,1,54.80106205016939,71.03013988878683,13.326001939410608
27,29,56589,10,1,191.1340483782809,45.456721343015104,9.197581586910644
28,39,60015,5,1,93.56592120876812,70.19149691771386,6.419198958767133
29,61,59009,4,1,104.00296804955555,47.10043660328045,5.856031318303374
30,42,113309,9,1,29.487762173619018,72.0737762385484,9.41698394115116
31,66,92046,10,1,26.761921317916507,49.67214878836815,5.291034154606796
32,44,56143,14,1,149.09266046841637,60.60847060706415,14.036504921712226
33,59,36154,13,1,116.85703954180003,72.12668546464784,15.46092009551995
34,45,51804,8,1,111.567077158928,47.098585571281916,9.05496166605546
35,33,71688,1,0,0.0,53.27583481316261,1.8916777504584932
36,32,94288,4,1,154.055131693386,69.33295137809453,0.5554861320849618
37,64,81195,5,1,50.28258423952854,48.00495254104904,3.559089858649882
38,68,50581,6,1,54.18825385898361,30.186615762407584,6.822715262302878
39,61,82648,4,1,102.92819084268959,82.14510581877364,4.820766553573784
40,69,60087,8,1,71.53037518014936,42.95353303494295,10.429333560265805
41,20,79930,0,1,64.54333662196635,52.38134076406314,-0.28973351029218875
42,54,62981,6,1,136.1427760195997,67.3401000417669,6.811648173347629
43,68,99298,9,1,137.174914139338,40.87259144403197,9.032748483862587
44,24,76167,6,1,168.41307256398727,34.88198130166805,4.026114526996887
45,38,105304,3,1,95.18754205513565,53.806059451622495,-1.511582662189495
46,26,73408,8,1,33.15531638470704,23.103854031314157,8.862019384260153
47,56,69499,13,1,69.25994928586238,45.6814088469812,13.347894416825623
48,35,82269,11,1,196.40098337542705,53.675579964731085,9.763649915799663
49,21,68559,10,1,127.32654354188638,45.950721547622535,6.76165388696827
50,42,104319,4,1,147.75267526418367,26.848235852213794,5.259479028817476
51,31,78787,3,1,21.324409332574618,73.91266934306017,2.468159851608896
52,67,65488,12,1,113.27703179285376,51.55307230923763,13.11374944473629
53,26,104441,6,1,26.75515835572456,71.46728176642611,9.728097060823517
54,43,104663,3,1,122.46143817646063,46.09945624729333,-1.2828617606394097
55,19,52431,14,1,185.73875293449356,36.79982027463854,12.600798382595272
56,37,91681,2,1,194.31544349007342,54.0377138038274,1.5812487733761735
57,45,93483,8,1,117.29948157000635,46.76319310507671,10.909652348293301
58,64,79153,10,1,102.47686494539887,32.33357813012963,6.72719396158703
59,24,36368,7,1,190.10307696472893,72.04676388181244,10.871722051361209
60,61,57424,0,0,0.0,40.66594665659006,0.271711803132581
61,25,75004,6,1,31.681870316913702,22.396004228066474,5.807998676532284
62,64,113869,8,1,103.83060398014956,69.92249080936,7.603880473562187
63,52,118652,7,1,63.244103323574706,42.43552976281065,6.127473935639943
64,31,86985,7,1,104.56477786076267,40.88264161076563,9.096233518538309
65,34,80069,12,1,101.98380296114512,23.51918619455039,9.862958491835123
66,53,82326,5,1,124.78606450665356,76.11412229895487,5.690828363287707
67,67,111061,10,1,84.21868826286523,30.657791191854688,9.231636668586049
68,57,53398,3,1,49.56868090206705,50.87674221058475,1.4757331029718042
69,21,80861,7,1,110.66949822619213,63.68930483810661,12.17195035136779
70,19,105897,2,1,169.43651918223716,56.325753995046455,2.83810146950692
71,23,111905,12,1,139.5222010521684,49.10518532011712,13.226531089322288
72,59,98577,8,1,80.90621586653884,24.475012125688757,10.275553561337325
73,21,95641,12,1,188.3941440965943,37.85412746349074,9.157300109362906
74,46,39078,1,0,0.0,52.81700507063783,4.504583818244063
75,35,55003,1,0,0.0,38.19238895019505,-4.017914356990151
76,43,92768,11,1,27.095165321665334,53.05039189998151,9.462467179922958
77,61,81047,12,1,153.4355675031372,60.22615113222713,11.081936653642199
78,51,101626,14,1,168.9698470428476,64.43754328700152,15.163446729941011
79,27,87660,11,1,194.21562187124394,31.60730963280975,11.437436532282975
80,53,79786,6,1,180.17055093589593,82.94969082468431,5.666370518603213
81,31,31925,11,1,128.09625827715467,61.51219016831196,10.976005310744553
82,48,113976,9,1,115.40942105822855,49.97428769496404,7.043953952954864
83,65,56015,3,0,0.0,66.3430487461496,0.005535211031653553
84,32,63320,9,1,64.39816043206001,85.4811165799996,10.45302324467212
85,25,94881,7,1,102.73065531192675,28.419198484146957,8.38741222507237
86,31,56289,8,1,133.1307020150422,46.6210603626297,11.168988750314117
87,40,33389,6,1,120.30532999731392,14.323525101900074,4.419965806369584
88,57,55683,4,0,0.0,52.88977298972037,5.385630420601846
89,38,43629,7,1,70.35804755966736,55.48091362887711,6.432586543270537
90,33,91550,3,1,121.69146937744519,49.41256826835861,5.380949970386965
91,62,54826,1,0,0.0,40.181996435025354,3.0439255533562832
92,35,56630,10,1,94.45979424497725,19.25728225717512,10.422418798448913
93,64,76163,14,1,155.02894993182818,55.603005251176526,13.320939686668027
94,41,96435,11,1,144.81215361722792,71.83151725872987,12.921864357216522
95,43,41653,5,1,198.31569269099222,41.134723163998515,6.2938090465131316
96,42,57961,8,1,70.02040267779608,56.600898935347175,6.631119195827635
97,62,111941,0,0,0.0,26.47783529869924,-2.655597346958862
98,58,104137,10,1,79.31547447931942,56.85819595538771,9.422934198636408
99,46,63662,9,1,99.30856053065145,44.09926553383014,12.030827630696418
100,32,86446,11,1,174.25102337648985,38.56373074095629,13.292974317466076
101,62,51288,6,1,143.1576335339276,38.59454538175804,3.7753450606588386
102,18,66877,9,1,178.8394144425647,44.095826269504855,6.664485168200158
103,42,45313,8,1,56.631999499739564,55.73649973538803,10.549367699358973
104,24,110885,9,1,177.20500121145884,30.317551982067233,6.7287281904843415
105,26,102715,8,1,30.757209352109196,44.043270026482205,9.018590647284016
106,41,40326,9,1,179.94787047868743,49.377923330012784,7.767857569327353
107,18,31560,10,1,79.23328030293102,33.51441163202211,13.234089849043364
108,61,109148,12,1,76.62577401453197,76.94997802512526,10.459150401724242
109,25,113186,2,1,112.1759438057595,37.19756779907988,4.286723060411656
110,41,56745,10,1,189.32423379018172,39.958446295497644,10.369717308120729
111,28,61890,12,1,28.600645642652967,35.32538075266253,12.504389708468574
112,68,50022,4,1,83.40157551273415,76.97720130707177,0.059382837297198066
113,34,82579,7,1,174.18295796300043,58.29357842899222,2.594173293588563
114,25,100316,7,1,91.289805938384,35.95111990634537,6.558868119465372
115,52,113847,3,1,55.84824156747206,66.59347338289953,3.4938121268332236
116,52,58380,14,1,96.46295263965412,53.01048041433317,11.749604344524553
117,50,32356,14,1,89.39945026850047,53.858801316672526,11.822613179047316
118,22,100326,11,1,184.7749162640066,44.83284186871321,12.122945259652266
119,59,119899,10,1,157.1481876337575,38.7587601956454,11.125708960914261
120,56,50049,10,1,110.92080003392114,55.06649148581902,9.724517879224146
121,58,105717,0,0,0.0,41.823691550066144,1.56040344237215
122,45,46082,0,0,0.0,77.25133444362658,-2.348404591440293
123,24,30661,14,1,30.48280954764954,30.96063342135344,13.28813016582606
124,26,67412,3,1,67.20937792669727,73.04235159282418,6.2957552115673465
125,25,32920,5,1,98.49268643947627,48.33021726803299,5.136644259879635
126,29,90315,7,1,48.24247234630162,54.48628601031659,7.252625029173998
127,51,109561,5,1,190.56172273832775,62.49736649944152,9.61189317193548
128,50,38946,11,1,158.03280160719916,40.546260574933456,8.201315668302458
129,65,75500,8,1,68.29169607699907,62.96372577047955,9.59286073328422
130,40,46309,14,1,126.34481603322484,9.386842169282339,17.3279725596162
131,41,85230,14,1,149.86084827972297,39.20015700167092,13.350284147002908
132,54,60027,8,1,189.43020720322363,36.13905788988402,9.719261573709693
133,52,102541,13,1,178.6943628515739,31.197409814423576,11.03596100557819
134,61,89321,1,1,112.73460070487846,46.77567742881573,-0.3734647911347031
135,57,30956,9,1,159.43747156274316,55.78624952272542,9.769932832095268
136,39,104131,0,1,121.1860556889653,60.53989997748959,1.5971333462211803
137,44,77908,1,0,0.0,53.613151358006114,3.2418730248124916
138,52,108339,4,1,40.65355250087454,40.0145980265968,7.1392571738789865
139,18,55963,3,1,42.70477844290737,55.535246567377506,2.8651068828896356
140,52,69443,3,1,115.31605070404234,51.86428542276276,5.387223510345176
141,54,69063,8,1,68.3950780962212,64.04084251904024,7.315390313101702
142,64,110818,10,1,23.786642442884354,61.65405054397275,11.804182623176537
143,31,34703,7,1,150.1110567020382,50.457146208809434,7.4149775957043635
144,20,95128,5,1,25.847587404229692,36.54120490758115,5.891355814163848
145,18,102099,0,1,127.14983139872982,40.20574766251879,0.8470157480440749
146,22,55849,1,0,0.0,41.7531596054295,-2.2094100195956243
147,43,61860,5,1,194.3866443040048,45.27100499125616,2.7517562822784534
148,31,61585,10,1,107.1583650825755,54.0207564138463,10.205082879635045
149,56,52015,1,0,0.0,60.72761585192087,-2.374558159282337
150,44,107539,14,1,119.3038342051631,49.23321960476933,15.662422206399512
151,26,73585,12,1,171.39731071089827,50.241871818507086,13.743111932576284
152,32,56958,9,1,199.43287117065918,52.14959457500006,9.65434110575558
153,32,56017,4,1,97.46177126403305,42.2614203030149,1.7577319744841557
154,43,106707,13,1,77.65377364941365,36.11911613535566,15.76027787773703
155,59,75350,4,1,183.1975934513598,23.668431540339352,8.074421279436717
156,30,42201,5,1,54.42358323370185,39.57275962884691,5.294153654891948
157,68,59426,5,1,130.7772047059268,57.0971817990168,6.021070756902473
158,49,47778,13,1,93.02859635257059,39.45632842940649,13.403477309592088
159,56,75241,5,1,27.39482569199995,46.4328944386109,6.060738377997598
160,66,72229,13,1,82.5119253750256,56.996469311184754,12.760882486747208
161,69,116652,1,1,67.74113405048143,57.81034244634003,0.9308715203123933
162,49,78364,13,1,143.49640770982762,33.807007217509415,14.811435200994731
163,21,114878,9,1,190.78228958454525,64.95589034680462,13.69124832379288
164,47,87056,13,1,68.2484937281548,66.91025134033228,10.199857531196523
165,54,57490,12,1,166.06386904730272,33.0522521417216,11.792375031194066
166,40,49975,14,1,29.964767048913714,37.64244695538269,11.639079029535836
167,56,56723,13,1,116.86178180716637,67.86636024719287,16.184049797152166
168,62,53279,2,0,0.0,47.79719718117049,0.8245240613602032
169,32,108301,13,1,188.12593840351508,16.70333078822224,10.113598412428413
170,60,41561,5,1,157.94323050033023,29.004777429009707,6.276373997697147
171,46,96061,12,1,138.43098401682664,46.25945562241278,15.488622229486221
172,53,118397,7,1,168.30134869243957,32.554360245730976,8.327195737121526
173,30,79153,11,1,136.55356320262936,43.79864344045338,11.409595754563835
174,49,63142,12,1,194.4099914913724,50.48594320525368,12.818281845551988
175,24,56916,10,1,148.51243061565887,71.93381906052093,12.829681325651109
176,68,94324,11,1,186.43854972480443,45.643191256583165,9.2516014599717
177,39,74965,0,0,0.0,66.08812699359139,-0.2236942081726259
178,45,34648,0,0,0.0,71.43140243055156,-0.9053802970190667
179,19,65133,10,1,115.07198985614308,71.51464504028114,7.6642693854165795
180,59,80677,12,1,42.83710905135679,54.27131890078353,11.343249481166396
181,62,100135,1,0,0.0,20.550662782415387,3.2154421919648972
182,23,65046,10,1,106.84875089497933,56.91237298105798,11.13320429678545
183,45,77064,14,1,132.0635716099007,65.7259983172031,15.2886210002164
184,45,99350,11,1,21.808456589869685,48.78399341846874,11.292951223306636
185,61,75893,11,1,55.07128849796554,76.16875805112872,12.046647565457178
186,61,91272,5,1,108.43947774418356,62.897503422011866,3.398819315303789
187,37,97649,8,1,191.0906410860443,58.52410065729176,7.380980228145542
188,47,94674,3,1,89.04962726392851,66.29571066808757,3.3840084739373535
189,28,43760,2,0,0.0,55.00054776891317,2.5550317177637805
190,45,51927,11,1,148.645296021192,12.607842509069698,11.640375709843745
191,42,116475,7,1,128.68269631150125,42.51291572794452,6.723329435967244
192,56,91367,10,1,73.80670701769998,67.9575204087178,9.245153197739342
193,50,42588,9,1,93.946951202137,37.88612989852556,15.315542566088595
194,18,82233,13,1,59.18596379430184,46.64791242144591,14.813574545864798
195,44,74738,8,1,193.88386264343754,34.32745529145393,8.826294951905245
196,69,63397,11,1,43.51418868032475,76.75883892802653,10.533583003587212
197,30,112189,10,1,86.9306212219555,75.22238686127022,9.097562346112246
198,58,106367,4,1,24.651014999602015,36.74196657288906,3.7383988125460887
199,20,101260,8,1,59.92030854803835,52.20947000583626,8.585657687173367
200,56,106619,1,1,160.4848049084279,39.792589283539286,-2.7608710881261627
201,23,49816,2,0,0.0,59.22416958547067,-1.1387791907493674
202,25,72240,6,1,34.41141245521381,57.64524615863493,4.726235222122085
203,44,36276,6,1,105.40157237201419,62.17558357419898,6.414278873557137
204,26,109530,5,1,21.79446225221333,54.97877671561831,4.521453705696297
205,54,53499,5,1,35.25790779673997,94.03109309582702,7.9562424521989685
206,50,118576,1,1,165.37265652133553,34.581143524838915,-1.9647935739915376
207,68,112495,9,1,158.86520207472915,24.340949683452287,7.49730906079326
208,59,101635,5,1,184.7249876728813,44.10364698947808,8.040183481982202
209,61,115112,3,1,173.8127784639349,26.480176016595987,3.2622386493502935
210,41,65946,11,1,142.97160138316724,27.61306594991011,12.769685165602317
211,32,85204,2,1,29.41991431411931,34.980280187030495,6.102493886538927
212,49,81886,12,1,160.91275123759834,36.16716641852559,10.612391164196355
213,49,101652,10,1,172.19194595130088,35.6807284707491,9.801371324415936
214,41,45563,12,1,163.8347862389518,57.77328425668117,11.455146198138257
215,58,39847,1,0,0.0,42.407164083719955,-2.909186008966551
216,69,56155,0,0,0.0,47.3072813769128,-0.6207936075119381
217,66,109671,10,1,172.1593956239708,63.413491617514026,11.762124374761331
218,66,113310,10,1,150.88930575322493,38.505162128278606,11.081179083624482
219,69,97278,4,1,196.5370113899933,46.03181151942917,5.23816633877602
220,29,48309,1,0,0.0,55.48639979139374,0.248982038721001
221,56,30619,1,0,0.0,20.87648299069668,-0.3121944720112828
222,19,113194,6,1,58.123666978670485,14.226417365741263,8.538511343797241
223,20,80108,7,1,162.65715817184062,55.19175993196584,6.0053657072846605
224,66,64707,12,1,53.64331336102127,57.380214208503475,12.588164077586429
225,54,50337,9,1,31.9987693681951,80.96330202278617,9.326669361355076
226,66,111537,7,1,199.74094518541315,52.37142313800215,9.923434032514237
227,34,96504,13,1,24.467098060126844,62.296095758871424,14.94282471534472
228,66,77614,3,0,0.0,47.06791034621039,0.40948275866575834
229,19,30281,14,1,85.7660314791175,54.4584083237763,11.62489366644992
230,19,57420,13,1,171.49078275640676,75.00885262624301,14.157819636138269
231,45,110896,0,0,0.0,18.140107728115467,-0.12867529475833303
232,40,69030,10,1,182.2936213075448,56.20424386357521,9.089656432092472
233,54,31058,6,1,186.7147375546328,82.03380095116049,8.031255767988942
234,49,116213,0,1,21.63767263053968,54.23051328814014,0.37491876417782166
235,50,106260,10,1,33.57419167870189,74.75859444849272,10.104914773778887
236,18,58404,3,1,65.06457132275398,40.561817757058364,4.559657281510099
237,36,59856,7,1,140.4767749454303,49.5192875875443,6.249782010112871
238,19,39200,1,0,0.0,50.50287053582881,4.137037970945109
239,61,94178,5,1,102.7895512329133,16.736133809618437,3.423904753533984
240,43,63997,12,1,129.25516092936778,32.477332582247,13.313858132684176
241,49,55611,5,1,53.929973503201005,33.54687380924021,7.867665677319689
242,23,71235,11,1,164.89403009870335,62.33099117048791,8.2454090214558
243,49,65057,8,1,194.11906004362456,63.08229658526083,7.313329648295102
244,21,31239,4,0,0.0,54.860546640598,6.284414785771116
245,28,95661,9,1,109.06867128809834,62.36154345283559,11.31448909546205
246,34,75272,3,1,35.500899891147284,47.53775880917339,2.6570087992235214
247,55,119393,4,1,120.64459816333431,68.02897504309314,2.530657812646281
248,41,91212,11,1,110.5010195324025,50.131826639481076,12.911871644661524
249,22,45398,11,1,45.99856714791397,50.867960711401345,13.36709820516321
250,69,86503,9,1,99.57191836125351,46.01611050106383,6.67067330297521
251,51,36638,14,1,80.13883737558139,60.26675716454642,11.59217270206724
252,23,36570,10,1,113.92955755493408,43.6820177508063,10.450513363967199
253,39,98785,4,1,125.41778037718386,64.64647065797102,5.258721266857784
254,28,39110,7,1,21.529204149297712,33.0177628892599,6.40186182953989
255,65,109141,9,1,156.98107693091995,33.51625617907709,10.358587639964698
256,33,42115,11,1,148.34257253511333,60.31140132689757,9.579726786325235
257,50,69062,7,1,85.93154951717399,48.67183678125481,2.770612801852529
258,26,52911,1,0,0.0,43.19162875770307,0.1521978553348079
259,23,62556,6,1,155.88785716130906,63.3508659871319,6.126464293026203
260,33,108131,7,1,191.93152888606383,40.89107878870873,6.448320080207087
261,46,31969,10,1,63.22728728396255,46.996981185494455,7.68279347268103
262,20,73753,5,1,78.23443047266682,70.9884192510674,1.368702048242365
263,37,112811,4,1,53.08632010672669,73.08713518715976,2.9718223912642046
264,53,34470,10,1,123.84850220207115,73.5859731540549,11.795311543299487
265,36,40225,8,1,47.87145103654189,45.76811334599133,10.512394878827365
266,43,53196,12,1,84.1149098230483,68.46054357476706,14.37542676827691
267,20,43669,2,0,0.0,35.765707583469826,0.36818092970289396
268,36,67380,11,1,120.82087694168271,36.39645687916909,8.692587352739272
269,37,78320,12,1,89.56326157902835,14.743162210634587,12.993269229959791
270,49,77414,12,1,95.64492832535754,75.09302302847794,13.270200023195851
271,24,45577,9,1,121.17995887218132,37.04030226385883,9.800339210400995
272,69,118009,3,1,21.055651019689034,48.1020113037941,-1.0281265484755266
273,58,85409,8,1,34.131776321649774,36.34513487107574,6.2662308302330665
274,50,58625,5,1,178.6264521973421,60.42747872495211,4.940622419428043
275,57,111040,7,1,34.01821803643234,44.3654950892399,7.9744363892608545
276,56,54089,6,1,147.2246473178909,30.42774664350576,7.534614725204974
277,35,66487,10,1,185.60686953962946,56.62493846279091,10.28850704456408
278,57,95838,1,1,68.7230487743116,28.49404962784657,1.661567613076472
279,18,80138,2,1,86.68845867071256,37.43891412026763,2.1697309167222083
280,28,72823,0,0,0.0,18.396663280608788,1.371238748436966
281,45,67208,8,1,178.70761453494524,28.640628317035898,8.625731302981823
282,42,84061,12,1,189.54300570687562,52.67793754580717,12.131475320094575
283,67,60659,6,1,153.12138466002824,20.53195942845613,5.463262401725238
284,40,61890,0,0,0.0,27.782814130674264,0.1625828500849622
285,48,109134,2,1,140.44774799627316,49.96446625800788,2.9691827576785497
286,47,77055,3,1,93.85466993707917,41.84589655860421,3.5349507777961224
287,59,49508,3,0,0.0,79.88054953938963,3.7616528366905078
